Workout,Body Weight (lbs),Date,Exercises,Rating
Pull Day 6,166.6,"August 28, 2024 1:00 AM (EDT)","Gorilla Row (https://www.notion.so/Gorilla-Row-ecbe8f4679f041d7b228fa7d4a8e327a?pvs=21), Upright Row (https://www.notion.so/Upright-Row-87183daa28224c9794ff9ff0d86acb4b?pvs=21), WG Lat Pulldown (https://www.notion.so/WG-Lat-Pulldown-0bc45fd9d41b4684a6ffc8d1b6378a5a?pvs=21), CG Seated Cable Row (https://www.notion.so/CG-Seated-Cable-Row-5c883a4f6c894bf8b2d68a772cb5c8a1?pvs=21)",7
Arm Day 6,166.6,"August 28, 2024 7:30 PM (EDT)","Incline DB Curl (https://www.notion.so/Incline-DB-Curl-14037c6cce8e46b7a612796173219f89?pvs=21), Standing DB Curl (https://www.notion.so/Standing-DB-Curl-4897d7b9e49848fa88c4ed42abcb7808?pvs=21), DB Rear Delt Fly (https://www.notion.so/DB-Rear-Delt-Fly-95d444f9b0a34cd2a87878b98d6f27fa?pvs=21), Overhead Cable Tricep Extension (https://www.notion.so/Overhead-Cable-Tricep-Extension-4ef7c60a45c244848b84c2bd435bd899?pvs=21), Preacher Curl (https://www.notion.so/Preacher-Curl-862535b1d05045e0b9f63f289cbb5a9e?pvs=21)",7
Leg Day 6,167,"August 30, 2024 6:00 AM (EDT)","SM HR Squat (https://www.notion.so/SM-HR-Squat-c6569f39513a4bde88c68496cad5f701?pvs=21), Machine Hip Thrust (https://www.notion.so/Machine-Hip-Thrust-b9eed3624f28495b9fc2999331cfbdef?pvs=21), Good Morning (https://www.notion.so/Good-Morning-25506a9db96d4ad7a27931101e209272?pvs=21)",7
Push Day 7,167.2,"August 31, 2024 7:00 AM (EDT)","Bench Press (https://www.notion.so/Bench-Press-f58bd5fa076a4ae9ad6788fcc55d5023?pvs=21), Military Press (https://www.notion.so/Military-Press-7baab1ad00bc43bebe52dc0a63a1a537?pvs=21), DB Lateral Raise (https://www.notion.so/DB-Lateral-Raise-9adad5609a824e27a7ec08d2fbb34ea7?pvs=21), Incline DB Press (https://www.notion.so/Incline-DB-Press-0314231fc5c04d8983788437f84024e2?pvs=21)",7
Pull Day 7,168.4,"September 1, 2024 12:30 PM (EDT)","WNG Lat Pulldown (https://www.notion.so/WNG-Lat-Pulldown-dea74b1f98ce49738e5209617c10b5e6?pvs=21), FH seated cable row (https://www.notion.so/FH-seated-cable-row-6b02a4122ad6483992789980240a3d51?pvs=21), CG Seated Machine Row (https://www.notion.so/CG-Seated-Machine-Row-4ab27bf8813d4501aac9483ab2f4a183?pvs=21), Machine Pulldown (https://www.notion.so/Machine-Pulldown-1e2cbf8cfcbe4704b33546911adf096f?pvs=21)",8
Arm Day 7,166,"September 2, 2024 1:00 PM (EDT)","Weighted Dips(1x-20) (https://www.notion.so/Weighted-Dips-1x-20-710d626ca01d4ddf84c50d118a119da5?pvs=21), Standing DB Curl(1x-4) (https://www.notion.so/Standing-DB-Curl-1x-4-190371c3c19b4cb89dcdc93db12ff605?pvs=21), Cable 1.5 lateral raise (https://www.notion.so/Cable-1-5-lateral-raise-a64a614de33f4581be311ebcfea0c2e5?pvs=21), Cable overhead tricep extension(1x-6.8) (https://www.notion.so/Cable-overhead-tricep-extension-1x-6-8-977a625140314aca922e514aeee4773e?pvs=21)",7
Leg Day 7,167,"September 18, 2024 3:30 PM (EDT)","SM HR Squat (https://www.notion.so/SM-HR-Squat-1056551aa029800b8580cfd987866c98?pvs=21), SM Good Morning (https://www.notion.so/SM-Good-Morning-c40062a6d569476488eb674b03a113c1?pvs=21)",5
Push Day 8,166.8,"September 19, 2024 6:00 PM (EDT)","Machine Press (https://www.notion.so/Machine-Press-1066551aa029800881b6ce96688d353f?pvs=21), DB Shoulder Press (https://www.notion.so/DB-Shoulder-Press-1066551aa02980039e06c3971a55f5e6?pvs=21)",5
Pull Day 8,165.6,"September 21, 2024 1:00 PM (EDT)","WNG Lat Pulldown (https://www.notion.so/WNG-Lat-Pulldown-1086551aa0298066ba2df78a667cb32b?pvs=21), Lat Pullover (https://www.notion.so/Lat-Pullover-1086551aa02980e4b7d6ebc3ef9fd8b1?pvs=21), Upright Row (https://www.notion.so/Upright-Row-1086551aa02980389f74cb2f747015cb?pvs=21), DB High Pull (https://www.notion.so/DB-High-Pull-1086551aa02980bfa9daf4176b142c7d?pvs=21)",7
Arm Day 8,164.6,"September 22, 2024 9:00 AM (EDT)","Preacher Curl (https://www.notion.so/Preacher-Curl-1086551aa02980b2b53bde16d81d105a?pvs=21), DB Hammer Curl (https://www.notion.so/DB-Hammer-Curl-60ff9c8db1fa49b1a518f62ea8a41054?pvs=21), Cable Tricep Pushdown (https://www.notion.so/Cable-Tricep-Pushdown-1096551aa029800e98e0e6ba0e6e1a27?pvs=21), Cable Lateral Raise (https://www.notion.so/Cable-Lateral-Raise-1096551aa0298048bf72c93a8a7a9e5b?pvs=21), Cable Overhead Tricep Extension(f) (https://www.notion.so/Cable-Overhead-Tricep-Extension-f-1096551aa0298049a571fd2c72242892?pvs=21), Machine Lateral Raise(f) (https://www.notion.so/Machine-Lateral-Raise-f-9a9f22e72e054593a362ee214badad35?pvs=21)",7
Leg Day 8,166.6,"September 23, 2024 2:00 AM (EDT)","DB RDL (https://www.notion.so/DB-RDL-10a6551aa02980fdb313e3979c357438?pvs=21), Hack Squat (https://www.notion.so/Hack-Squat-10a6551aa0298018b10bd0e1a4fc03a5?pvs=21), Hack Squat (https://www.notion.so/Hack-Squat-10a6551aa02980e4a0b3fd76610bbbbb?pvs=21)",6
Push Day 9,164.6,"September 24, 2024 12:00 PM (EDT)","SM Incline Bench Press (https://www.notion.so/SM-Incline-Bench-Press-10b6551aa02980029ad8c0c148470c15?pvs=21), Machine Converging Shoulder Press (https://www.notion.so/Machine-Converging-Shoulder-Press-f5bda8b31f254c4ca567d6b443872b8f?pvs=21), Incline DB Press (https://www.notion.so/Incline-DB-Press-10b6551aa029807ab4b5f41fb94fad37?pvs=21), DB Lateral Raise (https://www.notion.so/DB-Lateral-Raise-10b6551aa0298002813be7e194bb22d1?pvs=21)",7
Pull Day 9,165,"September 26, 2024 3:30 PM (EDT)","WG Lat Pulldown (https://www.notion.so/WG-Lat-Pulldown-10d6551aa029807da2c8f7d06b91bf6a?pvs=21), CG Seated Cable Row (https://www.notion.so/CG-Seated-Cable-Row-10d6551aa029808490a2cb76dec5f16b?pvs=21), Lat Pullover (https://www.notion.so/Lat-Pullover-10d6551aa02980179bd9f9176d54ce22?pvs=21), Machine Rear Delt Fly (https://www.notion.so/Machine-Rear-Delt-Fly-10d6551aa0298099b8d9e8ed542b199e?pvs=21)",7
Arm Day 9,165.5,"September 27, 2024 11:00 AM (EDT)","Weighted Dips (https://www.notion.so/Weighted-Dips-10e6551aa02980d5b107c0b7e78b1509?pvs=21), Dips(f) (https://www.notion.so/Dips-f-10e6551aa02980f29585e4b01fb9ef65?pvs=21), Barbell Curl (https://www.notion.so/Barbell-Curl-10e6551aa02980cd9efbc8fac2a163c5?pvs=21), DB Rear Delt Fly (https://www.notion.so/DB-Rear-Delt-Fly-10e6551aa02980d1bdebdb2e88384817?pvs=21), Cable Tricep Pushdown(3x-6.8) (https://www.notion.so/Cable-Tricep-Pushdown-3x-6-8-10e6551aa02980ff99f0ddb1aa0bab5c?pvs=21), Cable Lateral Raise (https://www.notion.so/Cable-Lateral-Raise-10e6551aa02980118d3ad4e3bbaae094?pvs=21), Db bicep curl(3x-2) (https://www.notion.so/Db-bicep-curl-3x-2-10e6551aa0298098a53aee3da27c719a?pvs=21)",8
Leg Day 9,165,"September 29, 2024 1:00 PM (EDT)","Sled Press (https://www.notion.so/Sled-Press-10e6551aa02980cc96bafb81f103bea2?pvs=21), Good Morning (https://www.notion.so/Good-Morning-1106551aa02980e980a6d5ce85712dd6?pvs=21), Machine Hip Thrust (https://www.notion.so/Machine-Hip-Thrust-1106551aa029807fb252d0a9a410a7f0?pvs=21), Machine Hip Thrust (https://www.notion.so/Machine-Hip-Thrust-1106551aa029804497c6cc1805200192?pvs=21), Leg Extension(3x-20) (https://www.notion.so/Leg-Extension-3x-20-1106551aa02980d6931ae4dfe66ee0e7?pvs=21)",8
Push Day 10,165.2,"September 30, 2024 12:30 AM (EDT)","Military Press (https://www.notion.so/Military-Press-1116551aa029802e9910da26d0a0f3e0?pvs=21), DB Press (https://www.notion.so/DB-Press-1116551aa02980ed9108ebdbd769cf27?pvs=21), Military Press (https://www.notion.so/Military-Press-1116551aa0298001bb4ff939d40883d7?pvs=21), DB Shoulder Press (https://www.notion.so/DB-Shoulder-Press-1116551aa02980188b75d13455904f31?pvs=21), Machine Press + partials(f) (https://www.notion.so/Machine-Press-partials-f-1116551aa029807880e4c185cc40af13?pvs=21)",8
Pull Day 10,164.6,"October 1, 2024 5:00 PM (EDT)","Pull Up (https://www.notion.so/Pull-Up-1126551aa0298075b633d69e6f95f7ff?pvs=21), Bent-Over Row (https://www.notion.so/Bent-Over-Row-1126551aa02980c4b4dafc131e92db48?pvs=21), Bent-Over Row (https://www.notion.so/Bent-Over-Row-1126551aa029803db376edf6c6c831bd?pvs=21), CG Machine Diverging Row(1x-14) (https://www.notion.so/CG-Machine-Diverging-Row-1x-14-1126551aa02980ce9873d0673ea67feb?pvs=21)",7
Arm Day 10,165.2,"October 2, 2024 5:00 PM (EDT)","EZ Bar Curl (https://www.notion.so/EZ-Bar-Curl-1136551aa02980e5879bd66ad48e3cdb?pvs=21), EZ Bar Reverse Curl (https://www.notion.so/EZ-Bar-Reverse-Curl-1136551aa0298014b57fc829c78f8592?pvs=21), Skullcrushers (https://www.notion.so/Skullcrushers-1136551aa02980cdbbaedbb090d73d26?pvs=21), Incline DB Curl (https://www.notion.so/Incline-DB-Curl-1136551aa02980cbb05df6863de50fc4?pvs=21), Standing DB Curl (https://www.notion.so/Standing-DB-Curl-1136551aa02980b08216fbdbbc38e707?pvs=21)",7
Leg Day 10,165.4,"October 3, 2024 12:00 PM (EDT)","Deadlift (https://www.notion.so/Deadlift-1146551aa02980b9b11fc6b6bfc1b8ea?pvs=21), HR Back Squat (https://www.notion.so/HR-Back-Squat-1146551aa029804797b3c5079e26e92d?pvs=21)",7
Push Day 11,165.8,"October 5, 2024 2:00 PM (EDT)","Bench Press (https://www.notion.so/Bench-Press-1166551aa029801aabf1e393559cbc10?pvs=21), Bench Press (https://www.notion.so/Bench-Press-1166551aa02980a29b50f9046318b001?pvs=21), Bench Press (https://www.notion.so/Bench-Press-1166551aa029803382c9ccd994280d27?pvs=21)",6
Pull Day 11,166,"October 7, 2024 4:30 PM (EDT)","Pull Ups (https://www.notion.so/Pull-Ups-1166551aa0298023b93dfbb6797afc09?pvs=21), Lat Pullover(1x-4.5) (https://www.notion.so/Lat-Pullover-1x-4-5-1186551aa029800ba109f73ad115a0b3?pvs=21), Upright Row (https://www.notion.so/Upright-Row-1186551aa02980428d2df2292a72d87f?pvs=21), DB High Pull (https://www.notion.so/DB-High-Pull-1186551aa02980339064ee5344048ebe?pvs=21)",7
